,Hours,Glucose uptake,Glutamate uptake,PO4 uptake,Glucose in medium,Glutamate in medium,PO4 in medium,Biomass,Growth rate,Max PO4 /gDW,Max PO4
0,1.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
1,1.1666666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
2,1.3333333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
3,1.5,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
4,1.6666666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
5,1.8333333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
6,2.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
7,2.166666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
8,2.3333333333333335,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
9,2.5,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
10,2.6666666666666665,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
11,2.8333333333333335,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
12,3.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
13,3.1666666666666665,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
14,3.3333333333333335,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
15,3.5,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
16,3.6666666666666665,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
17,3.8333333333333335,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
18,4.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
19,4.166666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
20,4.333333333333334,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
21,4.500000000000001,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
22,4.666666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
23,4.833333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
24,5.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
25,5.166666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
26,5.333333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
27,5.5,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
28,5.666666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
29,5.833333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
30,6.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
31,6.166666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
32,6.333333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
33,6.5,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
34,6.666666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
35,6.833333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
36,7.0,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
37,7.166666666666667,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
38,7.333333333333333,0.0,0.0,0.0,227.58069289772834,390.086812793643,5.122979589109532,0.03,0.0,1024.595917821906,30.737877534657176
