Hours;Glucose uptake;Glutamate uptake;PO4 uptake;Glucose in medium;Glutamate in medium;PO4 in medium;Biomass;Growth rate;Max PO4 /gDW;Max PO4
1.0;0.5474944333201098;1.1430066800158682;0.13069679800778533;227.58069289772834;390.086812793643;5.122979589109532;0.03;0.12859921619247788;1024.595917821906;30.737877534657176
1.1666666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.57795542556175;390.0810977602429;5.122326105119493;0.030649936308712756;0.128599216192477;1002.7412886329654;30.733956630716943
1.3333333333333333;0.5474944333201001;1.14300668001588;0.13069679800750056;227.57515864731;390.0752589132524;5.121658463697046;0.03131395319093828;0.128599216192477;981.3500899999744;30.729950782182264
1.5;0.5474944333201001;1.14300668001588;0.13069679800750056;227.57230127813378;390.06929357030657;5.120976358127877;0.03199235569587569;0.128599216192477;960.4124948113242;30.72585814876725
1.6666666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.5693820053584;390.06319899092824;5.1202794750528495;0.032685455481475785;0.128599216192477;939.9188843407229;30.721676850317085
1.8333333333333333;0.5474944333201001;1.14300668001588;0.13069679800750056;227.56639948787063;390.05697237526914;5.119567494324042;0.03339357095761663;0.128599216192477;919.8598438283525;30.71740496594424
2.0;0.5474944333201001;1.14300668001588;0.13069679800750056;227.56335235550264;390.0506108628235;5.118840088857676;0.034117027432380986;0.128599216192477;900.2261581557318;30.713040533146046
2.166666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.56023920840252;390.0441115311139;5.118096924483852;0.03485615726150276;0.128599216192477;881.0088076122925;30.708581546903098
2.3333333333333335;0.5474944333201001;1.14300668001588;0.13069679800750056;227.55705861639126;390.037471394349;5.117337659793031;0.03561130000105117;0.128599216192477;862.1989637517264;30.704025958758173
2.5;0.5474944333201001;1.14300668001588;0.13069679800750056;227.55380911830562;390.03068740205146;5.116561945979194;0.03638280256342269;0.128599216192477;843.7879853361995;30.69937167587515
2.6666666666666665;0.5474944333201001;1.14300668001588;0.13069679800750056;227.55048922132696;390.02375643765686;5.115769426679597;0.03717101937671255;0.128599216192477;825.7674143665693;30.694616560077566
2.8333333333333335;0.5474944333201001;1.14300668001588;0.13069679800750056;227.54709740029537;390.01667531708176;5.114959737811062;0.03797631254753891;0.128599216192477;808.1289721967815;30.68975842686636
3.0;0.5474944333201001;1.14300668001588;0.13069679800750056;227.54363209700907;390.00944078726104;5.114132507402712;0.038799052027394546;0.128599216192477;790.8645557306629;30.684795044416262
3.1666666666666665;0.5474944333201001;1.14300668001588;0.13069679800750056;227.54009171950855;390.00204952465344;5.113287355425094;0.03963961578260251;0.128599216192477;773.9662336993596;30.679724132550554
3.3333333333333335;0.5474944333201001;1.14300668001588;0.13069679800750056;227.53647464134522;389.99449813371467;5.112423893615588;0.04049838996795372;0.128599216192477;757.4262430177153;30.674543361693516
3.5;0.5474944333201001;1.14300668001588;0.13069679800750056;227.53277920083426;389.9867831453375;5.111541725300043;0.04137576910410643;0.128599216192477;741.2369852179112;30.669250351800244
3.6666666666666665;0.5474944333201001;1.14300668001588;0.13069679800750056;227.52900370029113;389.97890101525803;5.110640445210542;0.0422721562588289;0.128599216192477;725.3910229587315;30.66384267126324
3.8333333333333335;0.5474944333201001;1.14300668001588;0.13069679800750056;227.52514640525177;389.97084812242764;5.109719639299225;0.04318796323216863;0.128599216192477;709.881076608851;30.658317835795337
4.0;0.5474944333201001;1.14300668001588;0.13069679800750056;227.52120554367576;389.9626207673492;5.108778884548074;0.044123610745633216;0.128599216192477;694.7000209025739;30.65267330728843
4.166666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.51717930513223;389.9542151703778;5.107817748774576;0.04507952863546972;0.128599216192477;679.8408816664885;30.646906492647446
4.333333333333334;0.5474944333201001;1.14300668001588;0.13069679800750056;227.51306583996814;389.94562746998406;5.106835790433186;0.04605615605013132;0.128599216192477;665.2968326155334;30.6410147425991
4.500000000000001;0.5474944333201001;1.14300668001588;0.13069679800750056;227.50886325845855;389.93685372098054;5.105832558412471;0.04705394165202201;0.128599216192477;651.0611922170045;30.634995350474814
4.666666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.50456962993852;389.927889892709;5.104807591827879;0.048073343823612016;0.128599216192477;637.1274206210594;30.628845550967263
4.833333333333333;0.5474944333201001;1.14300668001588;0.13069679800750056;227.50018298191608;389.9187318671888;5.103760419810003;0.049114830878018594;0.128599216192477;623.4891166563127;30.622562518860004
5.0;0.5474944333201001;1.14300668001588;0.13069679800750056;227.49570129916623;389.9093754372252;5.102690561288264;0.05017888127414894;0.128599216192477;610.1400148891389;30.61614336772957
5.166666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.49112252280491;389.89981630447653;5.101597524769909;0.05126598383650413;0.128599216192477;597.0739827453341;30.60958514861944
5.333333333333333;0.5474944333201001;1.14300668001588;0.13069679800750056;227.4864445493434;389.89005007747943;5.10048080811422;0.05237663797974496;0.128599216192477;584.2850176928122;30.602884848685306
5.5;0.5474944333201001;1.14300668001588;0.13069679800750056;227.48166522972173;389.8800722696315;5.099339898301828;0.053511353938122945;0.128599216192477;571.767244484044;30.596039389810954
5.666666666666667;0.5474944333201001;1.14300668001588;0.13069679800750056;227.47678236832164;389.8698782971302;5.098174271199035;0.05467065299988178;0.128599216192477;559.5149124569692;30.589045627194196
5.833333333333333;0.5474944333201001;1.14300668001588;0.13069679800750056;227.47179372195774;389.8594634768669;5.096983391317024;0.055855067746737076;0.128599216192477;547.5223928931437;30.58190034790213
